id,name,primary_type,secondary_type,color,shape,sprite_file
1,bulbasaur,grass,poison,green,quadruped,sprites/0001.png
2,ivysaur,grass,poison,green,quadruped,sprites/0002.png
3,venusaur,grass,poison,green,quadruped,sprites/0003.png
4,charmander,fire,,red,upright,sprites/0004.png
5,charmeleon,fire,,red,upright,sprites/0005.png
6,charizard,fire,flying,red,upright,sprites/0006.png
7,squirtle,water,,blue,upright,sprites/0007.png
8,wartortle,water,,blue,upright,sprites/0008.png
9,blastoise,water,,blue,upright,sprites/0009.png
10,caterpie,bug,,green,armor,sprites/0010.png
11,metapod,bug,,green,squiggle,sprites/0011.png
12,butterfree,bug,flying,white,bug-wings,sprites/0012.png
13,weedle,bug,poison,brown,armor,sprites/0013.png
14,kakuna,bug,poison,yellow,squiggle,sprites/0014.png
15,beedrill,bug,poison,yellow,bug-wings,sprites/0015.png
16,pidgey,normal,flying,brown,wings,sprites/0016.png
17,pidgeotto,normal,flying,brown,wings,sprites/0017.png
18,pidgeot,normal,flying,brown,wings,sprites/0018.png
19,rattata,normal,,purple,quadruped,sprites/0019.png
20,raticate,normal,,brown,quadruped,sprites/0020.png
21,spearow,normal,flying,brown,wings,sprites/0021.png
22,fearow,normal,flying,brown,wings,sprites/0022.png
23,ekans,poison,,purple,squiggle,sprites/0023.png
24,arbok,poison,,purple,squiggle,sprites/0024.png
25,pikachu,electric,,yellow,quadruped,sprites/0025.png
26,raichu,electric,,yellow,upright,sprites/0026.png
27,sandshrew,ground,,yellow,upright,sprites/0027.png
28,sandslash,ground,,yellow,upright,sprites/0028.png
29,nidoran-f,poison,,blue,quadruped,sprites/0029.png
30,nidorina,poison,,blue,quadruped,sprites/0030.png
31,nidoqueen,poison,ground,blue,upright,sprites/0031.png
32,nidoran-m,poison,,purple,quadruped,sprites/0032.png
33,nidorino,poison,,purple,quadruped,sprites/0033.png
34,nidoking,poison,ground,purple,upright,sprites/0034.png
35,clefairy,fairy,,pink,upright,sprites/0035.png
36,clefable,fairy,,pink,upright,sprites/0036.png
37,vulpix,fire,,brown,quadruped,sprites/0037.png
38,ninetales,fire,,yellow,quadruped,sprites/0038.png
39,jigglypuff,normal,fairy,pink,humanoid,sprites/0039.png
40,wigglytuff,normal,fairy,pink,humanoid,sprites/0040.png
41,zubat,poison,flying,purple,wings,sprites/0041.png
42,golbat,poison,flying,purple,wings,sprites/0042.png
43,oddish,grass,poison,blue,legs,sprites/0043.png
44,gloom,grass,poison,blue,humanoid,sprites/0044.png
45,vileplume,grass,poison,red,humanoid,sprites/0045.png
46,paras,bug,grass,red,armor,sprites/0046.png
47,parasect,bug,grass,red,armor,sprites/0047.png
48,venonat,bug,poison,purple,humanoid,sprites/0048.png
49,venomoth,bug,poison,purple,bug-wings,sprites/0049.png
50,diglett,ground,,brown,blob,sprites/0050.png
51,dugtrio,ground,,brown,heads,sprites/0051.png
52,meowth,normal,,yellow,quadruped,sprites/0052.png
53,persian,normal,,yellow,quadruped,sprites/0053.png
54,psyduck,water,,yellow,upright,sprites/0054.png
55,golduck,water,,blue,upright,sprites/0055.png
56,mankey,fighting,,brown,upright,sprites/0056.png
57,primeape,fighting,,brown,upright,sprites/0057.png
58,growlithe,fire,,brown,quadruped,sprites/0058.png
59,arcanine,fire,,brown,quadruped,sprites/0059.png
60,poliwag,water,,blue,legs,sprites/0060.png
61,poliwhirl,water,,blue,humanoid,sprites/0061.png
62,poliwrath,water,fighting,blue,humanoid,sprites/0062.png
63,abra,psychic,,brown,upright,sprites/0063.png
64,kadabra,psychic,,brown,upright,sprites/0064.png
65,alakazam,psychic,,brown,humanoid,sprites/0065.png
66,machop,fighting,,gray,upright,sprites/0066.png
67,machoke,fighting,,gray,humanoid,sprites/0067.png
68,machamp,fighting,,gray,humanoid,sprites/0068.png
69,bellsprout,grass,poison,green,humanoid,sprites/0069.png
70,weepinbell,grass,poison,green,blob,sprites/0070.png
71,victreebel,grass,poison,green,blob,sprites/0071.png
72,tentacool,water,poison,blue,tentacles,sprites/0072.png
73,tentacruel,water,poison,blue,tentacles,sprites/0073.png
74,geodude,rock,ground,brown,arms,sprites/0074.png
75,graveler,rock,ground,brown,humanoid,sprites/0075.png
76,golem,rock,ground,brown,humanoid,sprites/0076.png
77,ponyta,fire,,yellow,quadruped,sprites/0077.png
78,rapidash,fire,,yellow,quadruped,sprites/0078.png
79,slowpoke,water,psychic,pink,quadruped,sprites/0079.png
80,slowbro,water,psychic,pink,upright,sprites/0080.png
81,magnemite,electric,steel,gray,arms,sprites/0081.png
82,magneton,electric,steel,gray,heads,sprites/0082.png
83,farfetchd,normal,flying,brown,wings,sprites/0083.png
84,doduo,normal,flying,brown,legs,sprites/0084.png
85,dodrio,normal,flying,brown,legs,sprites/0085.png
86,seel,water,,white,fish,sprites/0086.png
87,dewgong,water,ice,white,fish,sprites/0087.png
88,grimer,poison,,purple,arms,sprites/0088.png
89,muk,poison,,purple,arms,sprites/0089.png
90,shellder,water,,purple,ball,sprites/0090.png
91,cloyster,water,ice,purple,ball,sprites/0091.png
92,gastly,ghost,poison,purple,ball,sprites/0092.png
93,haunter,ghost,poison,purple,arms,sprites/0093.png
94,gengar,ghost,poison,purple,upright,sprites/0094.png
95,onix,rock,ground,gray,squiggle,sprites/0095.png
96,drowzee,psychic,,yellow,humanoid,sprites/0096.png
97,hypno,psychic,,yellow,humanoid,sprites/0097.png
98,krabby,water,,red,armor,sprites/0098.png
99,kingler,water,,red,armor,sprites/0099.png
100,voltorb,electric,,red,ball,sprites/0100.png
101,electrode,electric,,red,ball,sprites/0101.png
102,exeggcute,grass,psychic,pink,heads,sprites/0102.png
103,exeggutor,grass,psychic,yellow,legs,sprites/0103.png
104,cubone,ground,,brown,upright,sprites/0104.png
105,marowak,ground,,brown,upright,sprites/0105.png
106,hitmonlee,fighting,,brown,humanoid,sprites/0106.png
107,hitmonchan,fighting,,brown,humanoid,sprites/0107.png
